,0.05,0.1,0.2,0.3,0.4,0.5
122,0.0,0.0,0.036,0.088,0.137,0.173
123,0.177,0.274,0.442,0.477,0.543,0.601
124,0.0,0.005,0.089,0.184,0.235,0.271
125,1.0,1.0,1.0,0.997,0.991,0.971
126,1.0,0.996,0.99,0.979,0.954,0.931
127,0.97,0.876,0.726,0.682,0.645,0.615
128,1.0,1.0,1.0,0.998,0.994,0.972
129,1.0,0.99,0.886,0.814,0.761,0.727
130,1.0,1.0,1.0,1.0,0.998,0.995
131,0.995,0.964,0.891,0.825,0.767,0.762
132,0.998,0.956,0.869,0.808,0.73,0.73
133,1.0,1.0,0.999,0.985,0.964,0.954
134,0.808,0.675,0.601,0.592,0.595,0.581
135,0.011,0.076,0.179,0.264,0.297,0.334
136,1.0,1.0,0.993,0.974,0.925,0.877
137,0.995,0.918,0.787,0.727,0.706,0.685
138,0.812,0.728,0.649,0.578,0.548,0.565
139,1.0,1.0,1.0,0.997,0.995,0.987
140,1.0,1.0,0.999,0.981,0.946,0.914
141,0.999,0.998,0.991,0.962,0.933,0.915
142,0.878,0.869,0.829,0.799,0.765,0.728
143,1.0,1.0,0.996,0.981,0.963,0.932
144,1.0,0.994,0.968,0.958,0.917,0.903
145,1.0,1.0,1.0,0.996,0.987,0.979
146,1.0,1.0,0.999,0.981,0.975,0.934
147,1.0,0.976,0.868,0.85,0.838,0.819
148,1.0,1.0,1.0,0.978,0.945,0.928
149,1.0,1.0,1.0,0.993,0.988,0.976
150,0.994,0.958,0.855,0.813,0.767,0.735
151,1.0,0.999,0.986,0.924,0.877,0.849
152,1.0,0.999,0.963,0.927,0.879,0.836
153,1.0,1.0,1.0,0.995,0.976,0.961
154,1.0,1.0,0.962,0.911,0.859,0.794
155,0.893,0.799,0.722,0.681,0.687,0.709
156,0.0,0.0,0.006,0.022,0.06,0.101
157,0.0,0.006,0.089,0.183,0.24,0.274
158,1.0,1.0,0.999,0.993,0.972,0.935
159,1.0,1.0,0.999,0.99,0.978,0.958
160,0.002,0.07,0.268,0.346,0.409,0.456
161,0.939,0.817,0.743,0.683,0.662,0.653
162,0.992,0.918,0.779,0.722,0.654,0.643
163,0.051,0.127,0.244,0.323,0.349,0.379
164,1.0,0.967,0.841,0.713,0.704,0.67
165,1.0,1.0,0.984,0.965,0.942,0.948
166,1.0,0.983,0.937,0.884,0.847,0.808
167,0.431,0.404,0.431,0.452,0.496,0.52
168,0.962,0.871,0.698,0.647,0.659,0.658
169,0.219,0.324,0.397,0.408,0.418,0.443
170,1.0,1.0,1.0,0.996,0.986,0.965
171,1.0,1.0,1.0,1.0,0.997,0.984
172,1.0,0.999,0.964,0.937,0.908,0.856
173,0.791,0.741,0.687,0.655,0.635,0.607
174,0.999,0.994,0.938,0.859,0.824,0.772
175,1.0,1.0,0.999,0.992,0.971,0.948
176,1.0,0.99,0.944,0.91,0.868,0.848
177,1.0,1.0,0.991,0.951,0.934,0.901
178,1.0,0.999,0.99,0.961,0.922,0.892
179,1.0,1.0,0.99,0.969,0.947,0.919
180,0.989,0.936,0.819,0.769,0.738,0.679
181,1.0,1.0,1.0,0.995,0.987,0.963
182,1.0,0.988,0.915,0.854,0.81,0.788
183,1.0,0.958,0.777,0.718,0.658,0.634
184,1.0,1.0,0.971,0.918,0.862,0.843
185,1.0,0.997,0.939,0.9,0.859,0.811
186,1.0,0.992,0.95,0.916,0.875,0.82
187,1.0,0.964,0.845,0.751,0.686,0.679
188,1.0,1.0,1.0,0.99,0.976,0.946
189,0.982,0.925,0.843,0.792,0.76,0.739
190,0.0,0.018,0.094,0.162,0.177,0.188
191,1.0,0.997,0.959,0.932,0.906,0.893
192,1.0,0.978,0.882,0.839,0.739,0.729
193,0.972,0.964,0.886,0.833,0.837,0.828
194,0.475,0.479,0.536,0.538,0.565,0.585
195,1.0,0.973,0.835,0.768,0.697,0.663
196,1.0,1.0,1.0,0.978,0.951,0.931
197,1.0,0.973,0.862,0.797,0.758,0.7
198,1.0,1.0,0.999,0.99,0.98,0.968
199,0.0,0.0,0.027,0.097,0.167,0.223
200,1.0,1.0,1.0,1.0,0.997,0.991
201,1.0,1.0,0.999,0.991,0.97,0.95
202,1.0,0.997,0.936,0.909,0.863,0.829
203,1.0,1.0,1.0,0.996,0.986,0.958
204,0.533,0.446,0.426,0.455,0.518,0.539
205,0.141,0.257,0.375,0.452,0.493,0.48
206,1.0,1.0,1.0,0.997,0.988,0.988
207,0.0,0.027,0.107,0.168,0.196,0.24
208,0.949,0.861,0.757,0.735,0.736,0.689
209,1.0,0.992,0.923,0.861,0.854,0.797
210,1.0,0.998,0.991,0.97,0.93,0.916
211,1.0,0.998,0.942,0.875,0.835,0.796
212,1.0,1.0,0.998,0.981,0.941,0.89
213,1.0,1.0,1.0,0.994,0.98,0.956
214,1.0,1.0,0.999,0.996,0.984,0.953
215,1.0,1.0,0.999,0.991,0.972,0.95
216,1.0,0.993,0.92,0.884,0.86,0.832
217,0.988,0.929,0.811,0.781,0.751,0.739
218,0.956,0.829,0.777,0.715,0.681,0.67
219,0.997,0.96,0.885,0.778,0.733,0.706
220,0.523,0.518,0.532,0.559,0.566,0.572
221,0.772,0.652,0.576,0.515,0.472,0.482
222,1.0,0.999,0.986,0.976,0.946,0.923
223,1.0,0.989,0.95,0.924,0.91,0.885
224,1.0,0.999,0.971,0.932,0.906,0.871
225,0.991,0.904,0.782,0.721,0.649,0.642
226,1.0,1.0,0.98,0.951,0.931,0.885
227,1.0,1.0,0.984,0.952,0.907,0.876
228,1.0,0.999,0.971,0.924,0.862,0.825
229,0.515,0.548,0.546,0.527,0.523,0.529
230,0.219,0.275,0.315,0.346,0.391,0.394
231,1.0,0.987,0.932,0.86,0.824,0.823
232,1.0,0.991,0.949,0.915,0.877,0.858
233,0.1,0.242,0.362,0.43,0.415,0.468
234,0.001,0.034,0.153,0.211,0.244,0.306
235,1.0,0.992,0.935,0.897,0.859,0.822
236,1.0,0.99,0.904,0.858,0.788,0.781
237,0.718,0.689,0.663,0.623,0.651,0.631
238,0.0,0.0,0.0,0.001,0.005,0.025
239,1.0,1.0,0.997,0.984,0.959,0.912
240,0.157,0.269,0.316,0.308,0.343,0.34
241,1.0,0.995,0.91,0.845,0.781,0.756
242,1.0,1.0,0.999,0.991,0.974,0.955
243,0.989,0.966,0.866,0.792,0.755,0.701
244,0.999,0.987,0.928,0.848,0.799,0.762
245,0.001,0.033,0.158,0.209,0.268,0.279
246,0.999,0.98,0.901,0.844,0.775,0.766
247,0.0,0.012,0.059,0.134,0.193,0.232
248,0.009,0.075,0.185,0.236,0.293,0.34
249,0.999,0.975,0.886,0.824,0.785,0.729
